"Session Wednesday 30 September 2026 - 09:00-11:00 - Area 3 - Oral 3 - Multimodal Emotion Recognition","Paper ID ","Time ","Paper Title ","Presenting Author ","Abstract ","Authors ","Bio ","CN tbhead2 bg-c2","","","","","","","","","","","","","","","","","",""
"Oral","364","10:00-10:20","Mixture Consistency Learning for Robust Speaker Verification in Noisy Environments","Seung-bin Kim","Speaker verification (SV) systems often experience performance degradation in real-world environments due to diverse noise. A common solution is to add a speech enhancement (SE) frontend; however, most SE modules are trained to reconstruct predefined &quot;clean&quot; reference signals that still contain remaining noise and channel variability. This can lead the SE module to restore non-discriminative factors as well, thereby degrading SV performance. To address this limitation, we propose a Mixture Consistency Learning-based Speaker Verification (MCL-SV) system. Instead of relying on reference signals, MCL-SV enforces that the sum of the separated speaker and background representations matches the original input mixture, so that the enhanced signal is aligned with the input itself in a self-supervised manner. Experiments on multiple datasets show that MCL-SV consistently outperforms strong baselines and achieves state-of-the-art results among recent noise-robust SV systems.","Seung-bin Kim(University of Seoul); Chan-yeong Lim(University of Seoul); Jungwoo Heo(University of Seoul); Hyun-seo Shin(University of Seoul); Kyo-Won Koo(University of Seoul); Jisoo Son(University of Seoul); Kyung-Wha Kim(Supreme Prosecutor's Office); Ha-Jin Yu(University of Seoul)","","","","","","","","","","","","","","","","","","","",""
"Oral","1117","10:20-10:40","Adapting Audio Large Language Models for Speaker Verification","Shuai Wang","This paper investigates adapting Audio Large Language Models (ALLMs) for speaker verification (SV). We reformulate SV as an audio question answering task and conduct zero-shot evaluations on public benchmarks, showing that current ALLMs have limited zero-shot SV capability and struggle in diverse acoustic conditions. To address this challenge, we perform supervised fine-tuning on SV data. A rule-based hard pair sampling strategy is proposed to construct more challenging training pairs. Lightweight fine-tuning substantially improves performance, though a gap remains between ALLMs and conventional models. We then extend the approach to text-dependent SV by jointly querying ALLMs to verify speaker identity and spoken content, yielding results competitive with cascaded ASR—SV systems. Our findings demonstrate that, with proper adaptation, ALLMs have strong potential as a unified framework for robust SV systems while maintaining general audio understanding capabilities.","Yiming Ren(Shanghai Artificial Intelligence Laboratory); Xuenan Xu(Shanghai Artificial Intelligence Laboratory); Shuai Wang(Nanjing University); Chao Zhang(Shanghai Artificial Intelligence Laboratory; Tsinghua University); Baoxiang Li(Shanghai Artificial Intelligence Laboratory)","","","","","","","","","","","","","","","","","","","",""
"Oral","2670","10:40-11:00","Speaker Verification with Speech-Aware LLMs: Evaluation and Augmentation","Yuzhe Wang","Speech-aware large language models (LLMs) can accept speech inputs, yet their training objectives largely emphasize linguistic content or specific fields such as emotions or the speaker's gender, leaving it unclear whether they encode speaker identity. First, we propose a model-agnostic scoring protocol that produces continuous verification scores for both API-only and open-weight models, using confidence scores or log-likelihood ratios from the Yes/No token probabilities. Using this protocol, we benchmark recent speech-aware LLMs and observe weak speaker discrimination (EERs above 20% on VoxCeleb1). Second, we introduce a lightweight augmentation that equips an LLM with ASV capability by injecting frozen ECAPA-TDNN speaker embeddings through a learned projection and training only LoRA adapters. On TinyLLaMA-1.1B, the resulting ECAPA-LLM achieves 1.03% EER on VoxCeleb1-E, approaching a dedicated speaker verification system while preserving a natural-language interface.","Thomas Thebaud(Johns Hopkins University); Yuzhe Wang(Johns Hopkins University); Laureano Moro-Velazquez(Johns Hopkins University); Jesus Villalba-Lopez(Johns Hopkins University); Najim Dehak(Johns Hopkins University)","","","","","","","","","","","","","","","","","","","",""
"Wednesday 30 September 2026 - 09:00-11:00 - Area 5 - Oral 4 - Evaluation, Benchmarking, and Reliability of Audio Systems","","","","","","","","tbhead2 bg-c2","","","","","","","","","","","","","","","","","",""
"Oral","476","09:00-09:20","CAQA-Net: Continual Audio Quality Assessment Across Speech and Music Domains","Naiyuan Li","With the rapid advances of audio generation models and audio processing techniques, new types of distortions and audio domains are introduced, posing challenges to static audio quality assessment (AQA) models. Traditional AQA models cannot keep pace with the dynamic and diverse nature of real-world audio data. To address this issue, we propose CAQA-Net, a systematic continual learning framework for AQA, in which the model continuously acquires new knowledge from a sequence of tasks while retaining previously learned knowledge. The framework adopts a dual-branch and multi-head architecture that combines a trainable waveform encoder with a spectrogram-based semantic anchor. A knowledge-distillation regularizer preserves old knowledge, while a prototype-based gating mechanism supports task-agnostic inference. Results demonstrate that the proposed method successfully balances plasticity and stability, achieving performance within 0.036 SRCC (4.6%) of the joint-learning upper bound.","Naiyuan Li(Ningbo University); Xiaoxun Wu(Ningbo University); Yuheng Huang(Ningbo University); Diqun Yan(Ningbo University; Ningbo University of Finance and Economics)","","","","","","","","","","","","","","","","","","","",""
"Oral","1599","09:20-09:40","The First Environmental Sound Deepfake Detection Challenge: Benchmarking Robustness, Evaluation, and Insights","Yang Xiao","Recent progress in audio generation has made it increasingly easy to create highly realistic environmental soundscapes, which can be misused to produce deceptive content, such as fake alarms, gunshots, and crowd sounds, raising concerns for public safety and trust. While deepfake detection for speech and singing voice has been extensively studied, environmental sound deepfake detection (ESDD) remains underexplored. To advance ESDD, the first edition of the ESDD challenge was launched, attracting 97 registered teams and receiving 1,748 valid submissions. This paper presents the task formulation, dataset construction, evaluation protocols, baseline systems, and key insights from the challenge results. Furthermore, we analyze common architectural choices and training strategies among top-performing systems. Finally, we discuss potential future research directions for ESDD, outlining key opportunities and open problems to guide subsequent studies in this field.","Han Yin(KAIST); Yang Xiao(University of Melbourne); Rohan Kumar Das(Fortemedia); Jisheng Bai(Xi’an University of Posts & Telecommunications; Xi’an Lianfeng Acoustic Technologies Co., Ltd.); Ting Dang(University of Melbourne)","","","","","","","","","","","","","","","","","","","",""
"Oral","1748","09:40-10:00","Benchmarking Language Modeling for Lossless Compression of Full-Fidelity Audio","Phillip Long","Autoregressive &quot;language&quot; models (LMs) trained on raw waveforms can be repurposed for lossless audio compression, but prior work is limited to 8-bit audio, leaving open whether such approaches work for practical settings (16/24-bit) and can compete with existing codecs. We benchmark LM-based compression on full-fidelity audio across diverse domains (music, speech, bioacoustics), sampling rates (16kHz-48kHz), and bit depths (8, 16, 24-bit). Standard sample-level tokenization becomes intractable at higher bit depths due to vocabulary size (65K for 16-bit; 16.7M for 24-bit). We propose Trilobyte, a byte-level tokenization schema for full resolution audio, improving vocabulary scaling from O(2b) to O(1) and enabling the first tractable 24-bit LM-based lossless compression. While LMs consistently outperform FLAC and yield state-of-the-art compression at 8-bit and 16-bit, we observe that compression gains become more modest as bit depth increases beyond 8-bit.","Phillip Long(University of California); Zachary Novack(vUniversity of California); Chris Donahue(Carnegie Mellon University)","","","","","","","","","","","","","","","","","","","",""
"Oral","2506","10:00-10:20","Probing Spatial Structure in Pretrained Audio Representations","Sivan Ding","Pretrained spatial audio encoders are increasingly used as general-purpose representations for perceptual tasks, yet their spatial encoding capabilities remain poorly understood. We introduce the Spatial Audio Representation Learning (SARL) benchmark, a controlled framework for evaluating spatial information in pretrained audio models. SARL probes source-level factors (azimuth, elevation, distance, class) and room-level factors (RT60, volume, shape). Experiments across diverse encoders reveal three patterns: input configuration and training paradigm shape spatial encoding; source factors are consistently easier to decode than room factors; and sensitivity analysis under controlled perturbations shows heterogeneous responses to source and room variation. These results reveal systematic biases in current pretrained audio representations. SARL is released as an open-source benchmark for reproducible evaluation of spatial audio representations.","Chuyang Chen(New York University); Sivan Ding(New York University); Adrian S. Roman(New York University); Juan P. Bello(New York University)","","","","","","","","","","","","","","","","","","","",""
"Oral","3176","10:20-10:40","Interpretable Audio Editing Evaluation via Chain-of-Thought Difference-Commonality Reasoning with Multimodal LLMs","Yuhang Jia","Automatic mean opinion score (MOS) prediction serves as a principled alternative to both subjective listening tests and objective metrics, providing scalable and consistent audio evaluation. Inspired by the LLM-as-Judge paradigm, recent multimodal large language models offer strong perceptual modeling and reasoning capabilities, enabling audio quality assessment. In this work, we address the challenging problem of audio editing evaluation and propose the first natural language-based automated evaluation framework built upon Qwen2-Audio. Two caption-based fine-tuning tasks are introduced to enhance multi-audio understanding, together with a designed Chain-of-Thought prompting strategy to encourage structured, step-by-step reasoning. Experiments show that our framework produces interpretable and logically consistent text-based evaluations, aligning closely with human judgments while outperforming existing baselines. Code and tools will be released.","Yuhang Jia(Nankai University); Xu Zhang(Nankai University); Yang Chen(Nankai University); Hui Wang(Nankai University); Enzhi Wang(Nankai University); Yong Qin(Nankai University)","","","","","","","","","","","","","","","","","","","",""
"Oral","3245","10:40-11:00","DASM: Detecting AI-Synthetic Music via Authentic Manifold Deviation Modeling","Xinya Zhu","Current music deepfake detectors rely on a discriminative paradigm that fits decision boundaries to known fake distributions. As generative algorithms evolve, these methods suffer from structural vulnerability due to non-stationary distribution shifts. We propose DASM, a framework that models the stable distribution of authentic audio rather than tracking evolving forgeries. A learnable memory bank is trained exclusively on authentic samples via reconstruction loss to represent a compressed manifold prior. A dual-branch classifier utilizes both original features and memory-reconstructed features as complementary inputs, identifying forgeries as manifold-space divergence from the authentic distribution. Furthermore, a lightweight prompt tuning strategy adapts a frozen MERT encoder to the detection task with minimal parameters. Experiments on the SONICS dataset demonstrate state-of-the-art performance and robust resistance to acoustic degradations.","Xinya Zhu(North China University of Technology); Mengyu Qiao(North China University of Technology); Wenqiang Li(North China University of Technology); Zhihui Yang(North China University of Technology)","","","","","","","","","","","","","","","","","","","",""
"Wednesday 30 September 2026 - 09:00-11:00 - Area 6 - Oral 5 - Neural Audio Codec Architectures","","","","","","","","tbhead2 bg-c2","","","","","","","","","","","","","","","","","",""
"Oral","301","09:00-09:20","MSR-Codec: A Low-Bitrate Multi-Stream Residual Codec for High-Fidelity Speech Generation with Information Disentanglement","Jingyu Li","Audio codecs are a critical component of modern speech generation systems. This paper introduces a low-bitrate, multi-scale residual codec that encodes speech into four distinct streams: semantic, timbre, prosody, and residual. This architecture achieves high-fidelity speech reconstruction at competitive low bitrates while demonstrating an inherent ability for information disentanglement. We construct a two-stage language model for text-to-speech (TTS) synthesis using this codec, which, despite its lightweight design and minimal data requirements, achieves a lower Word Error Rate (WER) and superior speaker similarity compared to several larger models. Furthermore, the codec's design proves highly effective for voice conversion, enabling independent manipulation of speaker timbre and prosody. Our inference code, pre-trained models, and audio samples are available at https://github.com/herbertLJY/MSRCodec.","Jingyu Li(LIGHTSPEED); Guangyan Zhang(LIGHTSPEED); Zhen Ye(The Hong Kong University of Science and Technology); Yiwen Guo(Independent Researcher)","","","","","","","","","","","","","","","","","","","",""
"Oral","494","09:20-09:40","OmniCodec: Low Frame Rate Universal Audio Codec with Semantic–Acoustic Disentanglement","Jingbin Hu","Large Language Models (LLMs) have advanced audio generation through discrete representation learning. However, most existing neural codecs focus on speech and emphasize reconstruction fidelity, overlooking unified low frame rate modeling across diverse audio domains, including speech, music, and general sound. Moreover, high reconstruction quality does not necessarily yield semantically informative representations, limiting effectiveness in downstream generation tasks. We propose OmniCodec, a universal neural audio codec tailored for low frame rate. It adopts a hierarchical multi-codebook design with semantic-acoustic decoupling by leveraging the audio encoder of the pre-trained understanding model, along with a self-guidance strategy to improve codebook utilization and reconstruction. Compared with the Mimi, experiments show that OmniCodec achieves outstanding performance at the same bitrate, delivering superior reconstruction quality while also providing more semantically informative representations that benefit downstream generation tasks. Our model and code will be open-sourced. Our demo page is available.","Jingbin Hu(Northwestern Polytechnical University); Haoyu Zhang(Northwestern Polytechnical University); Dake Guo(Northwestern Polytechnical University); Qirui Zhan(Northwestern Polytechnical University); Wenhao Li(Northwestern Polytechnical University); Huakang Chen(Northwestern Polytechnical University); Guobin Ma(Northwestern Polytechnical University); Hanke Xie(Northwestern Polytechnical University); Chengyou Wang(Northwestern Polytechnical University); Pengyuan Xie(Shanghai Lingguang Zhaxian Technology); Chuan Xie(Shanghai Lingguang Zhaxian Technology); Qiang Zhang(Shanghai Lingguang Zhaxian Technology); Lei Xie(Northwestern Polytechnical University)","","","","","","","","","","","","","","","","","","","",""
"Oral","2398","09:40-10:00","U-Codec: Neural Speech Codec under Extreme Temporal Compression for Fast High-Fidelity Speech Generation","Xusheng Yang","We propose U-Codec, an Ultra low frame-rate neural speech Codec that achieves high-fidelity reconstruction and fast speech generation at a frame-rate of 5Hz (5 frames per second). Extreme temporal compression typically leads to severe intelligibility and spectral detail loss. We overcome this by introducing a Transformer-based inter-frame long-term dependency module and systematically exploring residual vector quantization (RVQ) depth and codebook size to identify optimal configurations. Moreover, we apply U-Codec to a large language model (LLM)-based auto-regressive TTS model, which leverages global and local hierarchical architecture to effectively capture dependencies across multi-layer tokens. Experiments demonstrate that U-Codec improves LLM-based TTS inference speed by 3x over high-frame-rate codecs while maintaining similarity and naturalness. These results validate the feasibility of using 5Hz discrete tokens for fast and high-fidelity speech synthesis.","Xusheng Yang(Peking University); Long Zhou(Tencent Hunyuan); Wenfu Wang(Tencent AI Lab); Kai Hu(Tencent Hunyuan); Zixiang Wan(Peking University); Yushen Chen(Shanghai Jiao Tong University); Shulin Feng(Tencent Hunyuan); Chenxing Li(Tencent AI Lab); Meng Yu(Tencent AI Lab); Dong Yu(Tencent AI Lab); Yuexian Zou(Peking University)","","","","","","","","","","","","","","","","","","","",""
"Oral","3031","10:00-10:20","Elastic Time: Dynamic Frame Rate Bottlenecks for Neural Audio Coding","Dimitrios Bralios","Neural audio autoencoders have become a core component of compression, feature extraction, and generation. However, while existing systems support variable bitrate, the vast majority of models still operate at a fixed latent frame-rate, allocating equal temporal budget to regions with very different information density, which can result in unnecessarily long sequences. We introduce Elastic Time, a dynamic frame-rate bottleneck that converts fixed-frame-rate autoencoders to dynamic ones. Our method learns a lightweight latent predictor used to decide which frames can be skipped and later reconstructed, enabling efficient greedy boundary selection at inference. Experiments show our method enables deployment-time rate control while improving efficiency-quality tradeoffs relative to baselines. Overall, we provide a flexible mechanism for adjusting temporal resolution in audio autoencoders, potentially facilitating more efficient downstream modeling for generation and long-context tasks.","Dimitrios Bralios(University of Illinois Urbana-Champaign); Paris Smaragdis(Massachusetts Institute of Technology); Minje Kim(University of Illinois Urbana-Champaign)","","","","","","","","","","","","","","","","","","","",""
"Oral","3108","10:20-10:40","SDP-Codec: A Speaker-Decoupled Speech Codec with Pitch Injection for Low-Bitrate Coding and Zero-Shot Voice Conversion","Hounsu Kim","Speaker-decoupled speech codecs can reduce bitrate by separating global speaker attributes from local content and prosody, while supporting voice conversion. Existing speaker-decoupled codecs face a trade-off: methods that explicitly suppress speaker leakage often rely on multi-stage or auxiliary training, whereas simpler designs can leave residual speaker information in local tokens. We propose SDP-Codec, a speaker-decoupled, pitch-injected codec trained with a single-stage optimization pipeline. SDP-Codec derives local tokens from continuous pre-quantization features of a pretrained self-supervised encoder and injects normalized F0 via a pitch encoder-decoder with global-conditioned denormalization and soft-label pitch reconstruction objective. Across 16 kHz and 24 kHz settings, SDP-Codec achieves competitive reconstruction and strong zero-shot voice conversion at comparable bitrates, with the lowest speaker-probing accuracy among compared systems, suggesting reduced speaker leakage. 1","Hounsu Kim(KAIST); Juhan Nam(KAIST)","","","","","","","","","","","","","","","","","","","",""
"Oral","3314","10:40-11:00","A Dual-Stream Discrete Neural Codec with Fixed-Length Global Speaker Tokens and Dynamic Frame Rates for Low-Bitrate Speech Tokenization","Boyang Zhang","Discrete speech tokens are an effective interface for speech language models (SLMs), yet many codecs are inefficient due to high token rates and mix speaker characteristics with content-related variation, increasing the modeling burden for downstream SLMs. We propose a low-bitrate dual-stream discrete codec comprising (i) a time-varying token stream from a single codebook and (ii) a small set of fixed-length global speaker tokens. To reduce redundancy, we introduce similarity-based dynamic frame aggregation that merges consecutive frames and enables controllable token rates at inference via a single threshold. An adaptive deaggregation module restores the sequence to the base frame rate for waveform reconstruction. Experiments demonstrate strong intelligibility and audio quality at low bitrates, with improved bitrate-quality trade-offs over fixed-rate baselines while maintaining speaker similarity.","Boyang Zhang(Zhejiang University; StepFun); Yechang Huang(StepFun); Xuerui Yang(StepFun); Ziyue Jiang(Zhejiang University)","","","","","","","","","","","","","","","","","","","",""
"Wednesday 30 September 2026 - 09:00-11:00 - Area 7 - Oral 9 - Speech Synthesis: Speech Features, Codec and Representations","","","","","","","","tbhead2 bg-c2","","","","","","","","","","","","","","","","","",""
"Oral","533","09:00-09:20","Semantic-VAE: Semantic-Alignment Latent Representation for Better Speech Synthesis","Zhikang Niu","Mel-spectrograms have been widely used in zero-shot text-to-speech (TTS); their inherent redundancy leads to inefficiency in text-speech alignment. Compact VAE-based latent representations have emerged as a stronger alternative but exhibit an optimization dilemma: higher-dimensional latents improve reconstruction quality and speaker similarity but degrade intelligibility, while lower-dimensional latents improve intelligibility at the cost of reconstruction fidelity. To overcome this dilemma, we propose Semantic-VAE, which uses semantic alignment regularization in the latent space. This design alleviates the reconstruction-generation trade-off by capturing semantic structure in high-dimensional latent representations. When integrated into F5-TTS, our method achieves 2.10% WER and 0.64 speaker similarity on LibriSpeech-PC, outperforming mel-based systems and vanilla acoustic VAE baselines with improved training efficiency. Demo and codes: https://zhikangniu.github.io/semantic-vae/","Zhikang Niu(Shanghai Jiao Tong University; Shanghai Innovation Institute); Shujie Hu(The Chinese University of Hong Kong); Jeongsoo Choi(KAIST); Yushen Chen(Shanghai Jiao Tong University; Shanghai Innovation Institute); Peining Chen(Shanghai Jiao Tong University); Pengcheng Zhu(Geely); Yunting Yang(Geely); Bowen Zhang(Geely); Jian Zhao(Geely); Chunhui Wang(Geely); Xie Chen(Shanghai Jiao Tong University; Shanghai Innovation Institute)","","","","","","","","","","","","","","","","","","","",""
"Oral","791","09:20-09:40","One-Step Token-to-Waveform Generation with MeanFlow in Latent Space","Zheqi Dai","Neural audio codecs are central to modern LLM-based Text-to-Speech (TTS) and multimodal systems. As low-bitrate semantic codecs gain prominence, the Token-to-Waveform (Token2Wav) decoder becomes a bottleneck determining both perceptual quality and system efficiency. Conventional multi-step flow-matching decoders offer superior quality but suffer from high inference latency due to iterative sampling, creating a severe quality-speed trade-off. In this paper, we propose a novel Token2Wav architecture that overcomes this limitation by applying MeanFlow in a highly compressed latent space. By modeling the average velocity rather than the instantaneous velocity field, MeanFlow enables true one-step generation. Operating in the latent domain mitigates the memory and stability issues of waveform-level flows, yielding up to a 17× improvement in Real-Time Factor (RTF) compared to multi-step baselines with negligible quality degradation. Furthermore, we introduce refinement strategies that mitigate latent mismatch, including decoder-only fine-tuning with the MeanFlow generator frozen and end-to-end joint fine-tuning, improving fidelity without increasing inference-time cost. Code and demo are publicly available.","Zheqi Dai(CUHK); Guangyan Zhang(Tencent); Zhen Ye(HKUST); Jingyu Li(Tencent); Haolin He(CUHK); Chunyat Wu(CUHK); Yiwen Guo(Independent Researcher); Qiuqiang Kong(CUHK)","","","","","","","","","","","","","","","","","","","",""
